TransactionID,Date,Hour,TransactionType,Amount,CardType,Location,Num_Transactions_Day,Account_Age_Years,Failed_Attempts,Distance_From_Home_km,Is_Fraud
TXN000081,2024-03-16,0,Online Purchase,358.66,Credit,Domestic,3,14.19,0,91.46,0
TXN000082,2024-08-05,18,POS Payment,121.68,Debit,Domestic,3,5.07,0,70.45,0
TXN000083,2024-06-04,17,Bank Transfer,77.12,Credit,International,7,11.23,1,57.55,0
TXN000084,2024-11-02,1,Online Purchase,679.79,Debit,Domestic,3,14.35,0,12.07,0
TXN000085,2024-12-09,11,Online Purchase,440.87,Credit,Domestic,3,1.56,0,61.5,0
TXN000086,2024-09-23,16,Online Purchase,264.22,Debit,International,6,7.99,0,21.95,0
TXN000087,2024-01-07,20,International,46.77,Debit,Domestic,4,0.27,1,101.46,1
TXN000088,2024-04-10,20,Bank Transfer,49.14,Credit,International,3,12.4,0,11.13,0
TXN000089,2024-02-08,2,Bank Transfer,37.24,Debit,Domestic,4,4.37,1,12.28,0
TXN000090,2024-12-17,11,Online Purchase,249.47,Credit,Domestic,4,5.06,2,161.68,0
TXN000091,2024-06-10,11,Bank Transfer,40.7,Credit,Domestic,1,10.34,2,36.39,0
TXN000092,2024-10-08,5,Online Purchase,472.28,Credit,Domestic,2,11.86,0,29.56,0
TXN000093,2024-09-22,9,ATM Withdrawal,10771.92,Debit,International,3,6.06,0,21.67,0
TXN000094,2024-02-18,21,Bank Transfer,124.06,Credit,International,2,10.02,1,88.96,0
TXN000095,2024-12-17,5,Online Purchase,161.13,Credit,International,0,14.35,0,21.75,0
TXN000096,2024-03-01,13,POS Payment,320.91,Debit,International,1,13.31,0,22.02,0
TXN000097,2024-06-21,1,Online Purchase,701.76,Credit,International,0,10.55,0,6.58,0
TXN000098,2024-05-27,10,Bank Transfer,571.3,Credit,Domestic,3,14.15,0,36.77,0
TXN000099,2024-08-15,14,ATM Withdrawal,24.83,Credit,International,0,13.15,0,128.69,0
TXN000100,2024-01-03,7,Bank Transfer,56.3,Credit,Domestic,2,10.96,0,157.96,0
TXN000101,2024-11-11,21,Online Purchase,361.21,Credit,Domestic,1,13.77,1,270.36,0
TXN000102,2024-05-06,12,Online Purchase,301.9,Credit,Domestic,2,12.28,0,32.03,0
TXN000103,2024-03-19,18,International,45.74,Credit,International,0,7.58,0,74.57,0
TXN000104,2024-07-19,9,Online Purchase,184.32,Credit,Domestic,7,7.58,0,40.21,0
TXN000105,2024-08-06,8,POS Payment,7013.35,Credit,International,3,0.23,0,39.7,0
TXN000106,2024-02-29,17,International,71.72,Debit,Domestic,2,0.55,0,82.06,0
TXN000107,2024-06-19,6,Online Purchase,522.54,Debit,Domestic,4,11.22,0,90.2,0
TXN000108,2024-11-29,2,Online Purchase,23.61,Credit,International,1,8.37,1,1.0,0
TXN000109,2024-12-07,11,Bank Transfer,391.04,Debit,Domestic,4,11.44,0,143.05,1
TXN000110,2024-05-24,14,International,249.16,Debit,International,5,14.25,0,86.58,1
TXN000111,2024-10-20,21,International,104.66,Debit,Domestic,3,6.84,0,63.85,0
TXN000112,2024-10-10,20,ATM Withdrawal,329.08,Credit,Domestic,2,1.42,0,95.54,0
TXN000113,2024-12-09,12,POS Payment,391.23,Debit,International,0,9.44,0,38.53,0
TXN000114,2024-10-16,5,Online Purchase,689.14,Credit,Domestic,0,1.59,0,74.2,0
TXN000115,2024-08-21,7,International,124.63,Debit,Domestic,4,9.36,0,45.65,0
TXN000116,2024-07-28,13,International,299.6,Credit,Domestic,0,7.96,0,39.15,0
TXN000117,2024-10-24,2,Online Purchase,240.71,Credit,Domestic,4,10.71,0,11.89,0
TXN000118,2024-10-26,15,Online Purchase,196.22,Credit,Domestic,5,5.33,0,94.0,0
TXN000119,2024-06-03,17,Online Purchase,562.77,Debit,Domestic,2,2.24,0,107.65,0
TXN000120,2024-12-24,23,Online Purchase,10.79,Debit,International,0,3.62,1,177.36,0
TXN000121,2024-11-16,16,POS Payment,92.86,Credit,Domestic,1,10.29,2,6.42,0
TXN000122,2024-07-19,17,ATM Withdrawal,203.2,Credit,Domestic,6,7.22,0,17.24,0
TXN000123,2024-09-15,9,Online Purchase,59.09,Debit,International,1,8.16,0,57.82,0
TXN000124,2024-03-15,16,Online Purchase,606.13,Debit,International,0,4.91,0,96.63,1
TXN000125,2024-08-18,15,International,270.74,Debit,Domestic,2,12.57,0,69.58,0
TXN000126,2024-11-18,20,Bank Transfer,172.47,Debit,Domestic,3,14.99,0,30.4,0
TXN000127,2024-09-03,23,ATM Withdrawal,431.45,Credit,Domestic,7,4.75,0,64.73,0
TXN000128,2024-01-21,1,Online Purchase,159.86,Credit,Domestic,3,10.81,0,3.74,0
TXN000129,2024-12-15,19,International,214.48,Credit,Domestic,4,2.65,0,54.32,0
TXN000130,2024-02-10,3,POS Payment,10.69,Credit,Domestic,4,11.16,0,0.4,0
TXN000131,2024-06-03,10,Online Purchase,123.81,Debit,Domestic,1,6.52,0,2.44,0
TXN000132,2024-05-28,6,Online Purchase,47.35,Credit,Domestic,3,9.12,0,70.8,0
TXN000133,2024-10-05,16,Online Purchase,302.54,Credit,Domestic,1,3.64,0,32.47,0
TXN000134,2024-01-14,18,Online Purchase,173.01,Credit,Domestic,4,12.79,0,3.07,0
TXN000135,2024-09-30,5,Bank Transfer,99.8,Credit,Domestic,4,2.68,0,32.88,0
TXN000136,2024-03-18,9,International,167.7,Debit,International,5,13.94,0,3.24,0
TXN000137,2024-09-07,20,ATM Withdrawal,68.81,Credit,Domestic,3,1.01,2,21.23,1
TXN000138,2024-09-29,3,POS Payment,657.86,Credit,Domestic,6,4.39,0,8.56,0
TXN000139,2024-02-25,0,ATM Withdrawal,23.87,Debit,Domestic,3,8.49,0,12.38,0
TXN000140,2024-10-06,6,Bank Transfer,511.39,Credit,Domestic,2,12.89,0,10.88,0
TXN000141,2024-12-19,20,Bank Transfer,189.03,Credit,Domestic,1,8.7,0,23.24,0
TXN000142,2024-05-07,15,Online Purchase,251.2,Debit,Domestic,7,3.32,0,5.71,1
TXN000143,2024-11-04,16,ATM Withdrawal,100.1,Credit,Domestic,8,12.9,0,37.51,0
TXN000144,2024-06-02,23,Bank Transfer,6572.64,Debit,International,2,8.98,1,26.14,1
TXN000145,2024-05-12,4,Online Purchase,92.77,Debit,Domestic,5,3.56,0,91.59,0
TXN000146,2024-04-05,21,ATM Withdrawal,232.22,Credit,Domestic,3,8.47,0,87.41,0
TXN000147,2024-10-08,22,ATM Withdrawal,1265.8,Credit,Domestic,5,10.16,1,86.94,0
TXN000148,2024-04-09,9,International,542.36,Debit,Domestic,2,10.24,0,31.71,0
TXN000149,2024-07-26,6,ATM Withdrawal,202.15,Credit,Domestic,4,10.89,0,17.18,0
TXN000150,2024-08-12,12,POS Payment,1170.84,Debit,Domestic,1,13.45,0,26.84,0
TXN000151,2024-07-24,6,ATM Withdrawal,312.14,Credit,Domestic,3,12.39,0,58.14,0
TXN000152,2024-03-20,14,POS Payment,68.52,Debit,Domestic,4,9.15,0,37.73,0
TXN000153,2024-05-16,16,Bank Transfer,140.05,Debit,Domestic,2,0.58,0,48.95,0
TXN000154,2024-04-24,22,POS Payment,111.8,Debit,Domestic,2,11.27,0,59.16,0
TXN000155,2024-11-12,2,ATM Withdrawal,115.4,Credit,Domestic,4,14.63,0,125.27,0
TXN000156,2024-01-04,4,Bank Transfer,367.25,Credit,International,3,4.65,3,144.1,0
TXN000157,2024-09-09,9,Bank Transfer,229.43,Credit,Domestic,2,9.14,1,91.78,0
TXN000158,2024-06-20,4,ATM Withdrawal,19.71,Debit,Domestic,2,11.55,0,3.36,0
TXN000159,2024-09-18,23,Online Purchase,534.81,Credit,International,4,9.62,0,193.97,0
TXN000160,2024-02-11,6,Online Purchase,98.03,Debit,Domestic,6,13.85,0,60.81,0
TXN000161,2024-07-03,6,Online Purchase,1468.6,Credit,Domestic,1,7.15,0,59.11,0
TXN000162,2024-03-23,21,POS Payment,780.82,Credit,Domestic,2,8.02,0,1.17,0
TXN000163,2024-01-28,22,Online Purchase,715.57,Credit,Domestic,3,0.67,0,32.64,0
TXN000164,2024-06-23,13,Online Purchase,426.67,Debit,International,1,13.51,0,49.24,0
TXN000165,2024-04-19,22,Bank Transfer,72.31,Debit,Domestic,4,4.01,0,16.32,0
TXN000166,2024-03-16,14,Online Purchase,200.16,Credit,Domestic,3,14.68,0,4.35,0
TXN000167,2024-12-11,4,ATM Withdrawal,73.5,Debit,Domestic,4,3.11,0,38.01,0
TXN000168,2024-10-05,4,Online Purchase,85.17,Credit,Domestic,4,3.88,0,29.56,0
TXN000169,2024-06-05,3,International,246.01,Debit,Domestic,3,7.32,0,2.25,0
TXN000170,2024-01-06,19,POS Payment,20.42,Debit,Domestic,1,9.94,0,36.64,0
TXN000171,2024-03-02,20,POS Payment,882.17,Credit,Domestic,3,6.67,0,5.7,0
TXN000172,2024-08-31,8,ATM Withdrawal,637.32,Credit,Domestic,5,5.34,0,27.63,0
TXN000173,2024-11-27,11,POS Payment,129.82,Credit,Domestic,2,8.15,0,15.76,0
TXN000174,2024-10-14,15,Online Purchase,191.12,Credit,International,2,14.38,0,176.12,0
TXN000175,2024-05-13,21,Online Purchase,166.9,Debit,International,4,14.43,0,1.77,0
TXN000176,2024-03-19,7,Online Purchase,544.69,Debit,International,6,4.99,2,41.05,0
TXN000177,2024-05-03,8,Bank Transfer,301.67,Debit,Domestic,1,10.23,1,8.24,0
TXN000178,2024-10-27,11,ATM Withdrawal,91.47,Debit,Domestic,3,10.86,0,19.23,0
TXN000179,2024-02-03,19,ATM Withdrawal,158.03,Credit,Domestic,3,9.84,1,10.16,0
TXN000180,2024-11-10,6,Online Purchase,150.08,Credit,Domestic,4,1.78,2,266.41,1
TXN000181,2024-01-25,20,ATM Withdrawal,810.6,Debit,Domestic,3,8.14,0,1.64,0
TXN000182,2024-07-24,3,Bank Transfer,58.19,Debit,Domestic,4,11.47,2,38.97,0
TXN000183,2024-10-22,22,ATM Withdrawal,33.46,Debit,Domestic,0,3.09,3,46.83,0
TXN000184,2024-10-24,2,Bank Transfer,12598.7,Debit,Domestic,1,5.29,0,73.96,0
TXN000185,2024-09-03,0,Online Purchase,577.5,Credit,Domestic,5,3.14,0,49.17,0
TXN000186,2024-05-19,6,POS Payment,523.42,Credit,Domestic,3,13.32,0,13.16,0
TXN000187,2024-04-14,8,Bank Transfer,188.84,Debit,Domestic,2,12.89,0,45.57,0
TXN000188,2024-12-01,1,Online Purchase,279.51,Credit,Domestic,1,2.62,3,184.38,0
TXN000189,2024-12-10,6,Online Purchase,217.16,Debit,Domestic,3,11.43,0,94.34,0
TXN000190,2024-09-22,9,Bank Transfer,27.99,Credit,Domestic,3,5.52,1,30.21,0
TXN000191,2024-07-15,1,POS Payment,236.48,Credit,Domestic,2,10.32,0,32.45,0
TXN000192,2024-09-09,12,ATM Withdrawal,13.43,Credit,Domestic,3,7.45,0,7.13,0
TXN000193,2024-03-25,2,Online Purchase,108.26,Debit,Domestic,2,7.13,2,42.19,1
TXN000194,2024-09-12,12,POS Payment,683.14,Debit,Domestic,7,13.23,1,16.44,0
TXN000195,2024-11-30,9,Bank Transfer,100.62,Credit,Domestic,1,9.59,0,5.72,0
TXN000196,2024-10-17,11,ATM Withdrawal,712.63,Credit,International,1,3.61,2,32.14,0
TXN000197,2024-04-22,2,ATM Withdrawal,81.97,Credit,Domestic,5,1.75,1,2.31,0
TXN000198,2024-11-22,19,Online Purchase,104.42,Credit,Domestic,5,14.01,2,6.4,0
TXN000199,2024-03-16,5,Bank Transfer,257.49,Credit,Domestic,2,2.39,0,12.36,0
TXN000200,2024-04-20,2,ATM Withdrawal,368.48,Credit,Domestic,1,11.04,2,233.54,0
TXN000201,2024-10-30,1,International,183.98,Credit,Domestic,2,7.49,1,82.64,0
TXN000202,2024-02-29,22,ATM Withdrawal,544.51,Credit,Domestic,5,2.19,2,39.02,0
TXN000203,2024-05-26,21,ATM Withdrawal,20.27,Credit,Domestic,3,11.67,0,13.24,0
TXN000204,2024-06-05,13,Bank Transfer,648.39,Credit,Domestic,4,13.58,0,36.59,0
TXN000205,2024-03-11,14,International,64.63,Credit,Domestic,1,1.91,1,52.35,0
TXN000206,2024-11-11,17,POS Payment,549.06,Credit,Domestic,4,1.1,0,0.23,0
TXN000207,2024-07-06,18,ATM Withdrawal,138.07,Debit,Domestic,4,12.76,1,220.7,0
TXN000208,2024-07-19,21,Bank Transfer,457.08,Credit,International,5,7.56,3,49.28,0
TXN000209,2024-10-10,9,Bank Transfer,288.43,Debit,Domestic,2,10.15,1,222.18,0
TXN000210,2024-08-02,19,ATM Withdrawal,58.38,Credit,Domestic,3,6.68,0,31.66,0
TXN000211,2024-06-20,16,Online Purchase,635.4,Debit,Domestic,2,6.25,0,48.84,0
TXN000212,2024-06-20,16,ATM Withdrawal,80.43,Debit,Domestic,1,4.56,0,30.94,0
TXN000213,2024-08-05,18,Online Purchase,79.97,Credit,Domestic,3,8.49,0,0.48,0
TXN000214,2024-05-04,23,International,430.74,Debit,International,5,2.48,0,94.82,0
TXN000215,2024-04-06,3,Online Purchase,37.98,Credit,Domestic,3,10.79,0,29.8,0
TXN000216,2024-06-04,10,International,72.77,Credit,Domestic,1,8.29,0,31.83,0
TXN000217,2024-11-04,16,ATM Withdrawal,185.13,Credit,International,2,12.73,1,22.31,0
TXN000218,2024-11-12,23,Bank Transfer,453.69,Credit,International,6,13.82,0,28.34,0
TXN000219,2024-03-11,9,ATM Withdrawal,49.89,Credit,Domestic,5,13.52,0,64.65,0
TXN000220,2024-11-22,21,Online Purchase,208.33,Credit,Domestic,4,9.06,0,60.3,0
TXN000221,2024-04-20,16,ATM Withdrawal,320.54,Credit,Domestic,3,4.85,0,82.61,0
TXN000222,2024-11-21,11,Online Purchase,502.59,Debit,Domestic,1,5.42,0,183.78,0
TXN000223,2024-02-04,9,Bank Transfer,695.53,Credit,International,6,9.82,0,24.81,0
TXN000224,2024-05-09,9,ATM Withdrawal,393.86,Credit,Domestic,0,10.71,0,20.7,0
TXN000225,2024-06-02,5,POS Payment,274.48,Credit,Domestic,1,2.5,0,34.01,0
TXN000226,2024-12-29,16,Online Purchase,152.12,Credit,Domestic,3,14.97,2,8.38,0
TXN000227,2024-11-10,18,Online Purchase,39.73,Credit,Domestic,3,1.7,0,70.95,0
TXN000228,2024-10-28,1,ATM Withdrawal,14196.18,Credit,Domestic,3,9.15,2,43.51,0
TXN000229,2024-06-09,3,International,1241.25,Credit,International,3,8.01,0,11.87,0
TXN000230,2024-03-30,17,Bank Transfer,343.67,Credit,Domestic,3,8.91,1,99.77,0
TXN000231,2024-04-24,20,ATM Withdrawal,14.21,Debit,Domestic,4,8.05,0,48.26,0
TXN000232,2024-12-29,3,ATM Withdrawal,181.42,Credit,Domestic,3,0.96,0,1.73,0
TXN000233,2024-10-07,5,Online Purchase,248.4,Credit,Domestic,4,14.94,1,10.94,0
TXN000234,2024-01-25,13,International,302.53,Credit,Domestic,1,14.72,0,110.86,0
TXN000235,2024-05-13,6,Bank Transfer,328.0,Debit,Domestic,3,7.91,0,23.99,0
TXN000236,2024-06-12,11,Online Purchase,214.17,Debit,Domestic,3,3.2,0,207.87,0
TXN000237,2024-11-20,1,Bank Transfer,73.19,Credit,Domestic,2,2.83,0,37.72,0
TXN000238,2024-08-29,17,Online Purchase,722.69,Credit,Domestic,2,0.95,0,11.65,0
TXN000239,2024-12-02,23,International,308.23,Credit,Domestic,3,9.22,3,45.06,0
TXN000240,2024-11-19,12,Online Purchase,77.57,Credit,Domestic,2,7.23,0,5.4,0
TXN000241,2024-10-30,12,Bank Transfer,8086.29,Debit,Domestic,0,6.3,0,82.39,1
TXN000242,2024-11-21,4,Online Purchase,647.53,Debit,Domestic,0,7.93,0,49.42,0
TXN000243,2024-06-18,6,Bank Transfer,556.17,Credit,Domestic,2,13.11,0,166.14,0
TXN000244,2024-07-04,11,POS Payment,139.86,Credit,Domestic,4,1.15,0,58.58,0
TXN000245,2024-10-11,13,Bank Transfer,19.77,Debit,International,5,8.21,0,2.52,0
TXN000246,2024-01-23,0,Bank Transfer,22.43,Debit,Domestic,2,10.55,0,32.35,0
TXN000247,2024-05-04,23,POS Payment,93.49,Debit,Domestic,1,14.56,0,37.89,0
TXN000248,2024-02-19,9,Online Purchase,257.97,Credit,Domestic,1,11.12,0,124.31,0
TXN000249,2024-02-03,8,Online Purchase,229.38,Debit,International,3,8.27,0,28.32,0
TXN000250,2024-06-16,9,Online Purchase,261.16,Credit,Domestic,5,11.52,0,45.01,0
TXN000251,2024-06-10,6,International,325.83,Credit,Domestic,2,14.96,1,10.29,0
TXN000252,2024-12-13,15,ATM Withdrawal,14.8,Debit,Domestic,4,13.34,0,14.03,0
TXN000253,2024-10-22,11,Bank Transfer,37.76,Debit,Domestic,2,1.43,0,39.77,0
TXN000254,2024-07-30,11,Bank Transfer,121.37,Credit,Domestic,3,8.66,1,59.7,0
TXN000255,2024-09-13,18,Online Purchase,52.06,Debit,International,2,11.82,0,28.59,0
TXN000256,2024-02-20,12,Online Purchase,6026.62,Debit,International,5,10.11,0,28.34,0
TXN000257,2024-03-12,20,Online Purchase,13531.18,Credit,Domestic,4,6.31,1,14.79,0
TXN000258,2024-06-23,17,ATM Withdrawal,432.3,Debit,Domestic,4,4.9,0,59.89,0
TXN000259,2024-01-23,2,Online Purchase,359.21,Credit,Domestic,3,9.44,1,0.27,0
TXN000260,2024-06-11,6,Online Purchase,434.62,Debit,Domestic,3,6.24,0,35.95,0
TXN000261,2024-04-08,0,POS Payment,284.05,Credit,Domestic,2,5.94,1,0.18,0
TXN000262,2024-07-27,2,International,342.33,Credit,Domestic,1,12.57,0,45.0,0
TXN000263,2024-10-18,20,Online Purchase,89.29,Debit,Domestic,5,4.8,1,1.57,0
TXN000264,2024-07-11,13,Online Purchase,1250.75,Credit,Domestic,9,9.71,1,140.73,0
TXN000265,2024-01-23,3,Online Purchase,60.58,Credit,Domestic,6,13.11,0,32.5,0
TXN000266,2024-12-01,18,Bank Transfer,70.36,Debit,Domestic,1,9.36,0,57.6,0
TXN000267,2024-05-31,21,POS Payment,95.24,Debit,Domestic,3,7.44,0,96.07,1
TXN000268,2024-11-12,5,Online Purchase,935.57,Credit,Domestic,2,0.63,0,13.42,0
TXN000269,2024-09-22,19,Online Purchase,1121.8,Credit,Domestic,2,10.26,0,38.83,0
TXN000270,2024-05-24,8,POS Payment,406.06,Debit,Domestic,7,14.96,0,99.55,0
TXN000271,2024-05-27,10,Bank Transfer,257.93,Credit,International,4,12.15,3,38.59,0
TXN000272,2024-02-26,21,Online Purchase,193.52,Credit,Domestic,1,9.55,1,24.94,0
TXN000273,2024-10-04,14,Bank Transfer,891.87,Credit,Domestic,5,7.09,0,23.01,0
TXN000274,2024-11-10,8,Online Purchase,307.37,Debit,Domestic,3,3.44,0,24.23,0
TXN000275,2024-03-11,10,ATM Withdrawal,733.88,Credit,Domestic,3,10.41,0,47.78,0
TXN000276,2024-01-10,9,POS Payment,105.15,Debit,Domestic,4,2.74,0,2.34,0
TXN000277,2024-05-21,1,POS Payment,111.53,Debit,Domestic,6,13.32,0,26.84,0
TXN000278,2024-06-09,21,ATM Withdrawal,492.28,Credit,Domestic,4,5.37,3,41.12,0
TXN000279,2024-10-30,13,International,50.59,Credit,Domestic,5,6.06,0,77.18,0
TXN000280,2024-02-09,3,ATM Withdrawal,739.36,Credit,Domestic,1,3.32,0,37.75,0
TXN000281,2024-02-21,1,POS Payment,187.05,Credit,Domestic,3,7.28,0,130.3,0
TXN000282,2024-03-26,4,ATM Withdrawal,662.32,Credit,Domestic,4,10.24,0,29.33,0
TXN000283,2024-12-30,13,POS Payment,112.67,Debit,Domestic,6,4.61,0,52.6,0
TXN000284,2024-01-09,14,International,324.66,Credit,Domestic,1,10.56,1,0.89,0
TXN000285,2024-05-16,18,Online Purchase,174.87,Debit,Domestic,2,9.35,0,13.62,0
